ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m]
25761,Fengyun 1C-Collision-Fragment,DEBRIS,0.6269781543342692,0.08290115148392542,0.21845533369797107,2.635130270058187,[-61.29122983955668 32.50255280339158 135.79248444173714],[-61.29122983955668 32.50255280339158 135.79248444173714],[0 0 0]
25762,Fengyun 1C-Collision-Fragment,DEBRIS,0.5772862080276765,0.036318468520177366,0.1851276867244538,5.097342874510329,[33.14005489461188 5.982231794319422 24.02362997708059],[33.14005489461188 5.982231794319422 24.02362997708059],[0 0 0]
25763,Fengyun 1C-Collision-Fragment,DEBRIS,0.05072073515055038,0.08839875168588604,0.0014128231113622071,0.015982387583735325,[-444.872238498497 -153.20927739938054 -121.29966144398088],[-444.872238498497 -153.20927739938054 -121.29966144398088],[0 0 0]
25764,Fengyun 1C-Collision-Fragment,DEBRIS,0.05063104554995435,0.04632817020215823,0.001407819201943522,0.03038797336049197,[-10.462878381129379 6.113239403905418 31.366031999481702],[-10.462878381129379 6.113239403905418 31.366031999481702],[0 0 0]
25765,Fengyun 1C-Collision-Fragment,DEBRIS,0.09804452909222197,0.06755319014234745,0.005295548660100307,0.07839080062601893,[5.6084505172395325 379.30971871053396 73.58365022144712],[5.6084505172395325 379.30971871053396 73.58365022144712],[0 0 0]
25766,Fengyun 1C-Collision-Fragment,DEBRIS,0.05567218306908052,0.5821212427418316,0.001702878466820242,0.002925298617861059,[322.16774931103384 -296.9530904146214 -189.83645416474883],[322.16774931103384 -296.9530904146214 -189.83645416474883],[0 0 0]
25767,Fengyun 1C-Collision-Fragment,DEBRIS,0.06270828789407892,0.285401477366597,0.0021617245915976037,0.007574328666914634,[87.20206231553807 80.98171224973039 -9.071364296919166],[87.20206231553807 80.98171224973039 -9.071364296919166],[0 0 0]
25768,Fengyun 1C-Collision-Fragment,DEBRIS,0.052244671092829105,0.12010229133995481,0.0014992057338637475,0.012482740480114404,[-19.585686406397105 -10.24059508477785 41.5444066882082],[-19.585686406397105 -10.24059508477785 41.5444066882082],[0 0 0]
25769,Fengyun 1C-Collision-Fragment,DEBRIS,0.05935197129697511,0.06868511663416427,0.0019360131646754227,0.028186792998942677,[-120.75227042712591 -53.47368892382993 -77.03721864906993],[-120.75227042712591 -53.47368892382993 -77.03721864906993],[0 0 0]
25770,Fengyun 1C-Collision-Fragment,DEBRIS,0.06972072331831419,0.11001927704397481,0.002673566385556394,0.024300890329317173,[313.5546061511903 98.85374842559844 204.69499615108978],[313.5546061511903 98.85374842559844 204.69499615108978],[0 0 0]
25771,Fengyun 1C-Collision-Fragment,DEBRIS,0.06535864361129813,0.07128663983338591,0.0023487736867661264,0.03294830128416457,[-28.38433117852151 4.526066729992827 22.038911656433164],[-28.38433117852151 4.526066729992827 22.038911656433164],[0 0 0]
25772,Fengyun 1C-Collision-Fragment,DEBRIS,0.053905873305953575,0.31409943868884926,0.0015962959254462994,0.005082135555891934,[-399.5281672029767 -885.9742209715387 -404.428193891279],[-399.5281672029767 -885.9742209715387 -404.428193891279],[0 0 0]
25773,Fengyun 1C-Collision-Fragment,DEBRIS,0.18020364924198307,0.09486160858911105,0.01794055320471084,0.1891234343539289,[38.326757062938 32.55681463894058 -11.142922883636459],[38.326757062938 32.55681463894058 -11.142922883636459],[0 0 0]
25774,Fengyun 1C-Collision-Fragment,DEBRIS,0.11252419506046953,0.08426805976928096,0.006979714999948811,0.08282752704949774,[120.45145955982116 21.981501925035623 63.7849994287234],[120.45145955982116 21.981501925035623 63.7849994287234],[0 0 0]
25775,Fengyun 1C-Collision-Fragment,DEBRIS,0.08691821052096804,0.32558687528933716,0.004159484536714178,0.012775344623513452,[78.72911431942957 -423.8068633405621 108.23407682384992],[78.72911431942957 -423.8068633405621 108.23407682384992],[0 0 0]
25776,Fengyun 1C-Collision-Fragment,DEBRIS,0.27924323675605556,0.07411903423683533,0.04316875152322755,0.5824246358268622,[17.070454800849333 40.68832416059904 -0.49498709583493694],[17.070454800849333 40.68832416059904 -0.49498709583493694],[0 0 0]
25777,Fengyun 1C-Collision-Fragment,DEBRIS,0.057902123856846316,0.007130507800504216,0.0018423682226060246,0.25837826339321107,[-14.177397801504611 0.7323157349801266 9.316844840969956],[-14.177397801504611 0.7323157349801266 9.316844840969956],[0 0 0]
25778,Fengyun 1C-Collision-Fragment,DEBRIS,0.05617073526000415,0.2213921359402478,0.0017335868162705202,0.007830390220989617,[-63.24995368183644 -48.79013888092399 -8.029292058095042],[-63.24995368183644 -48.79013888092399 -8.029292058095042],[0 0 0]
25779,Fengyun 1C-Collision-Fragment,DEBRIS,0.13078069059353453,0.19753974419115294,0.009434969802865005,0.04776238747041752,[-154.3002771723382 -129.0755949802235 39.52757547670003],[-154.3002771723382 -129.0755949802235 39.52757547670003],[0 0 0]
25780,Fengyun 1C-Collision-Fragment,DEBRIS,0.10538536070843765,0.16721289863691102,0.006120295973559032,0.036601817344538407,[-442.5691754052998 193.9314344906083 -231.58684397301747],[-442.5691754052998 193.9314344906083 -231.58684397301747],[0 0 0]
25781,Fengyun 1C-Collision-Fragment,DEBRIS,0.11609481013491219,0.21635658935209984,0.007430796020929863,0.034345133851398195,[-56.84776299992192 -67.97593021076271 4.615416215766101],[-56.84776299992192 -67.97593021076271 4.615416215766101],[0 0 0]
25782,Fengyun 1C-Collision-Fragment,DEBRIS,0.4934563148918376,0.03210665082861733,0.13516543256713068,4.209888888399873,[3.5704058975627837 -5.655349861943054 2.1068741272698785],[3.5704058975627837 -5.655349861943054 2.1068741272698785],[0 0 0]
25783,Fengyun 1C-Collision-Fragment,DEBRIS,0.08251415668383649,0.08454804555261716,0.00374773246895576,0.04432666000095078,[-17.523879014624384 27.529005995564365 -67.46362253802938],[-17.523879014624384 27.529005995564365 -67.46362253802938],[0 0 0]
25784,Fengyun 1C-Collision-Fragment,DEBRIS,0.051734020748952024,0.0901654404656704,0.0014699738860870853,0.016303074420700725,[3.9441869918214523 -3.4613767160777704 -42.700785438355474],[3.9441869918214523 -3.4613767160777704 -42.700785438355474],[0 0 0]
