ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m],Semi-Major-Axis [m],Eccentricity,Inclination [rad],Longitude of the ascending node [rad],Argument of periapsis [rad],Mean Anomaly [rad]
24962,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05682525855694926,0.11281289665209847,0.0017743198245260912,0.015727987465811485,[93.54268570276078 5.923312358178551 72.58370341202294],[-122.79621890076179 424.16934275258177 7521.393135313168],[6508917.055099439 2974483.386663436 14901.218633767334],7296248.769650021,0.021931033586387354,1.5127816862880805,0.42852726656955015,5.767301221379524,0.5072126866402014
24963,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05822160852595226,0.040039145445124213,0.0018628037172089278,0.0465245623126997,[2.371710910592196 3.996841034640074 16.446543102977067],[-213.96719369293038 422.24287142904325 7465.255975004122],[6508917.055099439 2974483.386663436 14901.218633767334],7189359.525175762,0.004611933043214168,1.507524318926648,0.42851627912183643,0.10603029244519632,6.179718846709759
24964,IRIDIUM 33-Collision-Fragment,DEBRIS,0.1000238354955334,0.06493355317066217,0.0055120367503855554,0.08488734223273593,[23.69797602497898 -106.00635435584218 -180.7894666740159],[-192.6409285785436 312.239676038561 7268.019965227129],[6508917.055099439 2974483.386663436 14901.218633767334],6820852.456582213,0.0493668941687335,1.5207480727364928,0.42854390305254575,3.0634031490471414,3.2259280267684365
24965,IRIDIUM 33-Collision-Fragment,DEBRIS,0.09681304601242802,0.0845931639803037,0.005163047960323076,0.061033867482781674,[-42.565341441906675 34.628608483079745 -68.91659100510397],[-258.90424604542926 452.87463887748294 7379.892840896041],[6508917.055099439 2974483.386663436 14901.218633767334],7034669.847502817,0.01782986982151722,1.5005173598233916,0.42850162368838435,2.90389038552228,3.3856541953835766
24966,IRIDIUM 33-Collision-Fragment,DEBRIS,0.060619340724959066,0.036331261160478634,0.002019777946044269,0.05559338931623424,[11.912013774019131 -58.1818420365355 117.71757826819152],[-204.42689082950344 360.0641883578677 7566.527010169337],[6508917.055099439 2974483.386663436 14901.218633767334],7385119.458941797,0.03109104392469579,1.5163400288083886,0.428534699356771,0.09199521846198482,6.196025127620972
24967,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05296828342373963,0.15708446107070861,0.0015411224836349132,0.009810788878355103,[22.068909936046996 -71.43678282314423 61.401479269568604],[-194.26999466747557 346.809247571259 7510.210911170714],[6508917.055099439 2974483.386663436 14901.218633767334],7268963.273605622,0.015650487934585924,1.5180935281150494,0.42853836105377063,0.14847873806282702,6.139057249827238
24968,IRIDIUM 33-Collision-Fragment,DEBRIS,0.09163741392981783,0.06918446169060272,0.004624573740772328,0.06684410961313414,[28.866898458309766 7.244762565793725 13.086187757121861],[-187.4720061452128 425.4907929601969 7461.895619658267],[6508917.055099439 2974483.386663436 14901.218633767334],7181840.85888301,0.004596873990769935,1.5085711501480847,0.42851846747370426,5.592289198290795,0.6900509052513574
24969,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06969693949994249,0.2692287913499628,0.002671738338815635,0.009923672447582766,[-32.122605672805044 315.59824524526164 -302.5194686742868],[-248.4615102763276 733.8442756396648 7146.289963226858],[6508917.055099439 2974483.386663436 14901.218633767334],6673649.552719648,0.0734981665347798,1.4633597137430654,0.4284236294927637,3.3093310544686605,2.9633563310414215
24970,IRIDIUM 33-Collision-Fragment,DEBRIS,0.38841764917023863,0.04518172540868751,0.08365208362990036,1.8514583689142554,[-154.66074447154935 -201.31195386875154 171.97488436043514],[-370.99964907507194 216.93407652565165 7620.78431626158],[6508917.055099439 2974483.386663436 14901.218633767334],7501489.6354935765,0.055078323585746734,1.5247068492740998,0.42855216523479284,0.6152687790131327,5.701019545848801
24971,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05676235208340048,0.015073672947792563,0.0017703843663709996,0.11744877127842025,[0.8606580594407154 1.9557719271448675 -4.8159366324902635],[-215.47824654408186 420.2018023215481 7443.993495268655],[6508917.055099439 2974483.386663436 14901.218633767334],7148349.306863065,0.0013685870632503946,1.5075084677063393,0.4285162459833803,2.536597966783001,3.749454928160119
