ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m]
24994,Satellite 1-Collision-Fragment,DEBRIS,0.10223434212821586,0.05070004746317771,0.005758951242423852,0.11358867556497747,[27.916161781363066 5.368468855974798 -30.24751598226917],[5027.916161781363 5.368468855974798 -30.24751598226917],[6800000 0 0]
24995,Satellite 1-Collision-Fragment,DEBRIS,0.07997324092060792,0.5203950876366829,0.003519954863300594,0.0067640047858370115,[-1282.9587374897123 476.37448264460323 284.1424983745381],[3717.0412625102877 476.37448264460323 284.1424983745381],[6800000 0 0]
24996,Satellite 1-Collision-Fragment,DEBRIS,0.08943032958321087,0.12063957775201306,0.004403985466706678,0.03650531234251763,[418.0631057675016 311.31589866332916 -292.97164267003313],[5418.063105767502 311.31589866332916 -292.97164267003313],[6800000 0 0]
24997,Satellite 1-Collision-Fragment,DEBRIS,0.08304033474300747,0.08394126179530004,0.0037957956960726668,0.045219664499791895,[-285.75126308355027 0.4508830904410615 149.29516839928326],[4714.24873691645 0.4508830904410615 149.29516839928326],[6800000 0 0]
24998,Satellite 1-Collision-Fragment,DEBRIS,0.08802196982337444,0.03504012331423115,0.004266049864436028,0.12174756995513827,[14.198699868692618 5.590016260830225 -29.105127547647676],[5014.1986998686925 5.590016260830225 -29.105127547647676],[6800000 0 0]
24999,Satellite 1-Collision-Fragment,DEBRIS,0.058598862142808204,0.13599260857306206,0.001887079807254612,0.013876340979523,[-36.06580472626688 184.3964100632632 -136.34458425902076],[4963.934195273733 184.3964100632632 -136.34458425902076],[6800000 0 0]
25000,Satellite 1-Collision-Fragment,DEBRIS,0.07369759080355665,0.3260369727240043,0.002988045463254527,0.00916474422606039,[31.826433827994123 -50.70628454951831 352.4509352813052],[5031.826433827994 -50.70628454951831 352.4509352813052],[6800000 0 0]
25001,Satellite 1-Collision-Fragment,DEBRIS,0.08635593476564563,0.5520716116089083,0.004105717571174963,0.007436929349092279,[357.4553052033643 116.64933141875356 59.0132661252491],[5357.455305203364 116.64933141875356 59.0132661252491],[6800000 0 0]
25002,Satellite 1-Collision-Fragment,DEBRIS,0.061366506176581105,0.170026187685912,0.002069993825492522,0.012174558835115477,[88.96983069289043 -45.981790703269475 98.90290229484434],[5088.96983069289 -45.981790703269475 98.90290229484434],[6800000 0 0]
25003,Satellite 1-Collision-Fragment,DEBRIS,0.054377582728473914,0.07603412757460211,0.0016244219199675134,0.021364379020114167,[-48.78573588342612 3.931367081373287 -13.75307142630544],[4951.214264116574 3.931367081373287 -13.75307142630544],[6800000 0 0]
