ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m]
0,Satellite 1-Collision-Fragment,DEBRIS,0.050116527376774106,5.864344449724326,0.0013792854381856911,0.00023519857164094944,[1081.1843607602052 -2226.4714524144247 1079.393446748537],[6084.691638870083 -2228.5607754168946 1080.0479162485783],[0 0 0]
1,Satellite 1-Collision-Fragment,DEBRIS,0.05327321821160363,2.7288631707135904,0.0015589599626251525,0.0005712855006275337,[-1616.6272966604458 484.0388078248743 -1610.444729101502],[3385.612221161312 483.66737311806645 -1611.3393301024282],[0 0 0]
2,Satellite 1-Collision-Fragment,DEBRIS,0.0560392217744174,2.6733906000420165,0.00172545952675084,0.0006454199123479082,[-430.5407124322408 -312.1643624059673 -283.83975962193665],[4572.260099679442 -312.82486363843896 -283.9573949518801],[0 0 0]
3,Satellite 1-Collision-Fragment,DEBRIS,0.05320066889964839,2.2057420743332163,0.001554706788400193,0.0007048452339424918,[185.82516822243625 -311.8258205413758 -1000.7073448806234],[5189.025818196474 -312.39198074465395 -1001.263009649803],[0 0 0]
4,Satellite 1-Collision-Fragment,DEBRIS,0.05299092859227938,2.1271802263536106,0.0015424436001940788,0.0007251118551614777,[-2644.802268226975 -1033.2095076438375 -239.7472026081325],[2356.429124997139 -1034.3944861256753 -239.77308118206827],[0 0 0]
5,Satellite 1-Collision-Fragment,DEBRIS,0.07435853243389376,4.154735526532392,0.0030420089890417315,0.0007321787318627812,[613.1070875173889 -891.5530870684956 159.62711012854945],[5616.531555145922 -892.420135155926 159.75390963795203],[0 0 0]
6,Satellite 1-Collision-Fragment,DEBRIS,0.056853947630875805,2.151325404229738,0.0017761160804144337,0.0008255915525017264,[79.70245126687783 52.31003156462056 -116.8509780468534],[5082.851811892553 52.00203064246567 -116.88821996443959],[0 0 0]
7,Satellite 1-Collision-Fragment,DEBRIS,0.05480747889934498,1.8806180096652978,0.0016502692078545875,0.000877514306134021,[276.5535609746979 -678.4460264398019 -191.6095710094734],[5279.784892169583 -679.1526379566097 -191.6938990027755],[0 0 0]
8,Satellite 1-Collision-Fragment,DEBRIS,0.05073612622913329,1.5759522993686537,0.0014136826958371035,0.0008970339371334035,[-1084.0851118081537 90.95425048672334 286.0200052269895],[3918.346705434907 90.60356165224742 286.22617137696534],[0 0 0]
9,Satellite 1-Collision-Fragment,DEBRIS,0.05758711615969487,2.011869445730765,0.0018223297030905254,0.0009057892434111729,[2183.210959308194 -1342.8398621815784 -4241.505262174186],[7187.65864376385 -1343.8452811499897 -4244.0758337170155],[0 0 0]
